revision,Meta Class,Meta Concept,Meta Description,envisionName,nwName,format,flags,nullTokens,failureKey,failureMapping,ecsName,Proposed,nbOccurrences,shortMeta,name_noDot, old ecsType,extra ecs
1,Miscellaneous,Event State,This key captures the current state of the object/item referenced within the event. Describing an on-going event.,event_state,event.state,Text,None,,,,rsa.misc.event_state,,55,misc,event_state,keyword
1,Network,Bytes Sent,This key should only be used to capture the size of Bytes Sent,sbytes,bytes.src,UInt64,None,(null)|-,,,source.bytes,,53,network,bytes_src,long
1,,Network Port,"Deprecated, use port. NOTE: There is a type discrepancy as currently used, TM: Int32, INDEX: UInt64 (why neither chose the correct UInt16?!)",network_port,network.port,UInt64,None,(null),,,rsa.network.network_port,,51,network,network_port,long
1,Network,Bytes Received,This key should only be used to capture the size of Bytes Received,rbytes,rbytes,UInt64,None,(null)|-,,,destination.bytes,,51,network,rbytes,long
1,Time,Time Start,This key is used to capture the Start time mentioned in a session in a standard form,starttime,starttime,TimeT,None,,,,rsa.time.starttime,,50,time,starttime,keyword
1,,,,uid,username,Text,None,none|-,,,related.user,user.name,50,identity,username,keyword
1,Miscellaneous,Action Event,This key is used to capture the primary action in a session,web_method,action,Text,None,,,,rsa.misc.action,,49,misc,action,keyword
1,,,,month,,,,,,,rsa.time.month,,49,time,month,keyword
1,Identity,Authentication Method,This key is used to capture authentication methods used only,authmethod,auth.method,Text,Transient,,,,rsa.identity.auth_method,,46,identity,auth_method,keyword
1,,,,day,,,,,,,rsa.time.day,,46,time,day,keyword
1,,,Deprecated key defined only in table map.,level,level,Int32,None,,,,rsa.internal.level,,45,internal,level,integer
1,Miscellaneous,Group Object,This key captures a collection/grouping of entities. Specific usage,group_object,group.object,Text,Transient,,,,rsa.misc.group_object,,42,misc,group_object,keyword
1,Miscellaneous,Node,Common use case is the node name within a cluster. The cluster name is reflected by the host name.,node,node,Text,Transient,,,,rsa.misc.node,,42,misc,node,keyword
1,Miscellaneous,Rule Number,This key captures the Rule number,rule,rule,Text,Transient,,,,rsa.misc.rule,,41,misc,rule,keyword
1,,Ethernet Host Address,"Deprecated, use alias.mac",macaddr,eth.host,MAC,None,,,,rsa.network.eth_host,host.mac,39,network,eth_host,keyword
1,Network,Source Interface,This key should only be used when it’s a Source Interface,sinterface,sinterface,Text,Transient,,,,rsa.network.sinterface,observer.ingress.interface.name,39,network,sinterface,keyword
1,Miscellaneous,Device Name,"This is used to capture name of the Device associated with the node Like: a physical disk, printer, etc",device,device.name,Text,Transient,,,,rsa.misc.device_name,,38,misc,device_name,keyword
1,Time,Event End time,This key is used to capture the End time mentioned in a session in a standard form,endtime,endtime,TimeT,Transient,,,,rsa.time.endtime,,38,time,endtime,keyword
1,Miscellaneous,User Agent,This key captures the user agent identifier or the browser identification string. See the client meta key for the client application making the request.,user_agent,user.agent,Text,None,,,,user_agent.original,,37,misc,user_agent,keyword
1,Reserved,Message ID,"This is the Message ID1 value that identifies the exact log parser definition which parses a particular log session. This key should never be used to parse Meta data from a session (Logs/Packets) Directly, this is a Reserved key in NetWitness",msg_id,msg.id,Text,None,,,,rsa.internal.msg_id,,36,internal,msg_id,keyword
1,Time,Time Zone,This key is used to capture the timezone of the Event Time,timezone,timezone,Text,None,,,,rsa.time.timezone,event.timezone,36,time,timezone,keyword
1,Miscellaneous,Parameter,"This key is the parameters passed as part of a command or application, etc.",param,param,Text,None,,,,rsa.misc.param,,35,misc,param,keyword
1,Email,Destination E-mail Address,"This key is used to capture the Destination email address only, when the destination context is not clear use email",to,email.dst,Text,None,,,,rsa.email.email_dst,,34,email,email_dst,keyword
1,Network,Ethernet Destination,This key should only be used when it’s a Destination Mac Address,dmacaddr,eth.dst,MAC,None,,,,destination.mac,,34,network,eth_dst,keyword
1,Miscellaneous,Change Attribute,This key is used to capture the name of the attribute that’s changing in a session,change_attribute,change.attrib,Text,Transient,,,,rsa.misc.change_attrib,,33,misc,change_attrib,keyword
1,Network,Traffic Flow Direction,"This Key should never be used in a parser, this is a reserved key used by the product to calculate the direction.",direction,direction,Text,None,,,,network.direction,,33,network,direction,keyword
1,Investigations,Event Categorization ID,This key captures the Event category number,event_cat,event.cat,UInt32,Transient,,,,rsa.investigations.event_cat,,33,investigations,event_cat,integer
1,Investigations,Event Category Name,This key captures the event category name corresponding to the event cat code,event_cat_name,event.cat.name,Text,None,,,,rsa.investigations.event_cat_name,,33,investigations,event_cat_name,keyword
1,Miscellaneous,Event Hostname,"This key is a windows only concept, where this key is used to capture fully qualified domain name in a windows log.",event_computer,event.computer,Text,None,,,,rsa.misc.event_computer,,33,misc,event_computer,keyword
1,Email,Source E-mail Address,"This key is used to capture the source email address only, when the source context is not clear use email",from,email.src,Text,None,,,,rsa.email.email_src,,32,email,email_src,keyword
1,Miscellaneous,Reference Id1,"This key is for Linked ID to be used as an addition to ""reference.id""",id1,reference.id1,Text,Transient,,,,rsa.misc.reference_id1,,32,misc,reference_id1,keyword
1,,Translated Source Address,"Deprecated, use ip.trans.src",stransaddr,stransaddr,IPv4,Transient,,,,source.nat.ip,,32,network,stransaddr,ip
1,Reserved,Message ID1,"This is the Message ID2 value that identifies the exact log parser definition which parses a particular log session. This key should never be used to parse Meta data from a session (Logs/Packets) Directly, this is a Reserved key in NetWitness",vid,msg.vid,Text,Transient,,,,rsa.internal.msg_vid,,31,internal,msg_vid,keyword
1,,Privilege,"Deprecated, use permissions",privilege,privilege,Text,Transient,,,,rsa.file.privilege,,31,file,privilege,keyword
1,Identity,User Role,This key is used to capture the Role of a user only,user_role,user.role,Text,Transient,,,,rsa.identity.user_role,,31,identity,user_role,keyword
1,Miscellaneous,Event Log Name,This key captures the Name of the event log,event_log,event.log,Text,Transient,,,,rsa.misc.event_log,,30,misc,event_log,keyword
1,Web,FQDN,Fully Qualified Domain Names,fqdn,fqdn,Text,None,,,,rsa.web.fqdn,related.hosts,29,web,fqdn,keyword
1,,User Account,"Deprecated, use user",administrator,username,Text,None,none|-,,,related.user,user.name,29,identity,username,keyword
1,,,,hostid,alias.host,Text,None,,,,rsa.network.alias_host,,28,network,alias_host,keyword
1,,,Deprecated key defined only in table map.,data,data,Text,Transient,,,,rsa.internal.data,,28,internal,data,keyword
1,Counters,Device class Counter 2,This is a generic counter key that should be used with the label dclass.c2.str only,dclass_counter2,dclass.c2,Int32,Transient,,,,rsa.counters.dclass_c2,,28,counters,dclass_c2,integer
1,Network,Interface Destination,This key should only be used when it’s a Destination Interface,dinterface,dinterface,Text,Transient,,,,rsa.network.dinterface,observer.egress.interface.name,28,network,dinterface,keyword
1,Miscellaneous,Operating System,This key captures the Name of the Operating System,os,OS,Text,None,,,,rsa.misc.OS,,28,misc,OS,keyword
1,Web,Web page,The captures the web page information,webpage,web.page,Text,Transient,,,,file.name,,28,web,web_page,keyword
1,Miscellaneous,Name of the Terminal,This key captures the Terminal Names only,terminal,terminal,Text,Transient,,,,rsa.misc.terminal,,27,misc,terminal,keyword
1,,,,msgIdPart3,,,,,,,rsa.misc.msgIdPart3,,27,misc,msgIdPart3,keyword
1,Miscellaneous,Filter,This key captures Filter used to reduce result set,filter,filter,Text,None,,,,rsa.misc.filter,,26,misc,filter,keyword
1,Miscellaneous,Serial Number,This key is the Serial number associated with a physical asset.,serial_number,serial.number,Text,Transient,,,,rsa.misc.serial_number,,26,misc,serial_number,keyword
1,Email,Subject,This key is used to capture the subject string from an Email only.,subject,subject,Text,None,,,,rsa.email.subject,,26,email,subject,keyword
1,Identity,Domain OU,X.500 (LDAP) Distinguished Name,dn,dn,Text,None,,,,rsa.identity.dn,,25,identity,dn,keyword
1,Time,Duration,A text string version of the duration,duration_string,duration.str,Text,Transient,,,,rsa.time.duration_str,,25,time,duration_str,keyword
1,Database,Database instance name,This key is used to capture the database server instance name,instance,instance,Text,Transient,,,,rsa.db.instance,,25,db,instance,keyword
1,,,,signame,policy.name,Text,None,,,,rsa.misc.policy_name,,25,misc,policy_name,keyword
1,,,,web_query,query,Text,None,,,,url.query,,25,web,query,keyword
1,,,,date,,,,,,,rsa.time.date,,25,time,date,keyword
1,Identity,Logon Type,This key is used to capture the type of logon method used.,logon_type,logon.type,Text,None,,,,rsa.identity.logon_type,,24,identity,logon_type,keyword
1,Web,Referer,This is used to capture the Web Referrer URL address specifically.,web_referer,referer,Text,None,None|-,,,http.request.referrer,,24,web,referer,keyword
1,,Translated Destination Address,"Deprecated, use ip.trans.dst",dtransaddr,dtransaddr,IPv4,Transient,,,,destination.nat.ip,,23,network,dtransaddr,ip
1,Threat,Threat Category,This key captures Threat Name/Threat Category/Categorization of alert,threat_name,threat.category,Text,None,,,,rsa.threat.threat_category,,23,threat,threat_category,keyword
1,Network,Vlan Number,This key should only be used to capture the ID of the Virtual LAN,vlan,vlan,UInt16,Transient,,vlan.name,vlan.name,rsa.network.vlan,,23,network,vlan,integer
1,Miscellaneous,Checksum,This key is used to capture the checksum or hash of the entity such as a file or process. Checksum should be used over checksum.src or checksum.dst when it is unclear whether the entity is a source or target of an action.,checksum,checksum,Text,None,,,,rsa.misc.checksum,,22,misc,checksum,keyword
1,Miscellaneous,Event User,"This key is a windows only concept, where this key is used to capture combination of domain name and username in a windows log.",event_user,event.user,Text,None,,,,rsa.misc.event_user,,22,misc,event_user,keyword
1,,,,year,,,,,,,rsa.time.year,,22,time,year,keyword
1,Physical,Location,This is used to capture either the complete address or a description about a location being referenced in a session,location_desc,loc.desc,Text,Transient,,,,geo.name,,21,physical,loc_desc,keyword
1,Miscellaneous,Virus Name,This key captures the name of the virus,virusname,virusname,Text,None,,,,rsa.misc.virusname,,21,misc,virusname,keyword
1,Email,E-mail Address,This key is used to capture a generic email address where the source or destination context is not clear,user_address,email,Text,None,,,,rsa.email.email,,20,email,email,keyword
1,File,File Size,This key is used to capture the size of the file only,filename_size,filename.size,Int32,None,(null)|-|N/A,,,file.size,,20,file,filename_size,long
1,,Translated Source Port,"Deprecated, use port.trans.src. NOTE: There is a type discrepancy as currently used, TM: Text, INDEX: UInt16",stransport,stransport,UInt16,Transient,,,,source.nat.port,,20,network,stransport,long
1,Miscellaneous,Content Type,This key is used to capture Content Type only.,content_type,content.type,Text,Transient,,,,rsa.misc.content_type,,19,misc,content_type,keyword
1,Database,Database Name,This key is used to capture the name of a database or an instance as seen in a session,db_name,database,Text,Transient,,,,rsa.db.database,,19,db,database,keyword
1,,Translated Destination Port,"Deprecated, use port.trans.dst. NOTE: There is a type discrepancy as currently used, TM: Text, INDEX: UInt16",dtransport,dtransport,UInt16,Transient,,,,destination.nat.port,,19,network,dtransport,long
1,Miscellaneous,Group ID,This key captures Group ID Number (related to the group name),groupid,group.id,Text,Transient,,,,rsa.misc.group_id,group.id,19,misc,group_id,keyword
1,Miscellaneous,Policy ID,"This key is used to capture the Policy ID only, this should be a numeric value, use policy.name otherwise",policy_id,policy.id,Text,Transient,,,,rsa.misc.policy_id,,19,misc,policy_id,keyword
1,Cryptography,Cipher Name,This key is used to capture the Encryption Type or Encryption Key only,encryption_type,crypto,Text,Transient,,,,rsa.crypto.crypto,,18,crypto,crypto,keyword
1,Time,Recorded time,The event time as recorded by the system the event is collected from. The usage scenario is a multi-tier application where the management layer of the system records it's own timestamp at the time of collection from its child nodes. Must be in timestamp format.,recorded_time,recorded.time,TimeT,Transient,,,,rsa.time.recorded_time,,18,time,recorded_time,keyword
1,Miscellaneous,Virtual system name,This key captures Virtual System Name,vsys,vsys,Text,Transient,,,,rsa.misc.vsys,,18,misc,vsys,keyword
1,Web,Web request Domain,This key captures Domain name in the Web Request,web_domain,web.domain,Text,Transient,,,,url.domain,,18,web,web_domain,keyword
1,Miscellaneous,Connection ID,This key captures the Connection ID,connectionid,connection.id,Text,Transient,,,,rsa.misc.connection_id,,17,misc,connection_id,keyword
1,Investigations,Vendor supplied Event Category,This is a vendor supplied category. This should be used in situations where the vendor has adopted their own event_category taxonomy.,vendor_event_cat,event.vcat,Text,Transient,,,,rsa.investigations.event_vcat,,17,investigations,event_vcat,keyword
1,Miscellaneous,Packets Total,"This key is the total number of packets sent/received in a session. Also, in cases where the Sent or Received context is not clear, this can be used.",packets,packets,UInt32,Transient,(null)|-,,,network.packets,,17,misc,packets,long
1,,Parent Pid,"Deprecated, use process.id.src",parent_pid,parent.pid,Int32,Transient,,parent.pid.val,parent_pid_val,process.ppid,,17,misc,parent_pid,long
1,Identity,User Profile,This key is used to capture the user profile,profile,profile,Text,Transient,,,,rsa.identity.profile,,17,identity,profile,keyword
1,Miscellaneous,Reference Id2,"This key is for the 2nd Linked ID. Can be either linked to ""reference.id"" or ""reference.id1"" value but should not be used unless the other two variables are in play.",id2,reference.id2,Text,Transient,,,,rsa.misc.reference_id2,,17,misc,reference_id2,keyword
1,Miscellaneous,Sensor Name,This key captures Name of the sensor. Typically used in IDS/IPS based devices,sensor,sensor,Text,Transient,,,,rsa.misc.sensor,,17,misc,sensor,keyword
1,Miscellaneous,Signature ID,This key captures IDS/IPS Int Signature ID,sigid,sig.id,Int32,None,(null),sig.id.str,sigid_string,rsa.misc.sig_id,,17,misc,sig_id,integer
1,,,,logon_id,username,Text,None,none|-,,,related.user,user.name,17,identity,username,keyword
1,,,,datetime,,,,,,,rsa.time.datetime,,17,time,datetime,keyword
1,Network,Zone Source,This key should only be used when it’s a Source Zone.,src_zone,zone.src,Text,Transient,,,,rsa.network.zone_src,,16,network,zone_src,keyword
1,,,,user_fullname,fullname,Text,Transient,,,,user.full_name,,15,identity,fullname,keyword
1,Miscellaneous,Port(Physical/Logical),This key is used for Physical or logical port connection but does NOT include a network port. (Example: Printer port name).,portname,port.name,Text,Transient,,,,rsa.misc.port_name,,15,misc,port_name,keyword
1,Miscellaneous,Rule Group,This key captures the Rule group name,rule_group,rule.group,Text,Transient,,,,rsa.misc.rule_group,,15,misc,rule_group,keyword
1,,,,owner,username,Text,None,none|-,,,related.user,user.name,15,identity,username,keyword
1,Wireless,WLAN Service Set Identifier,This key is used to capture the ssid of a Wireless Session,ssid,wlan.ssid,Text,Transient,,,,rsa.wireless.wlan_ssid,,15,wireless,wlan_ssid,keyword
1,Network,Zone Generic,This key should be used when the source or destination context of a Zone is not clear,zone,zone,Text,Transient,,,,rsa.network.zone,,15,network,zone,keyword
1,Network,Zone Destination,This key should only be used when it’s a Destination Zone.,dst_zone,zone.dst,Text,Transient,,,,rsa.network.zone_dst,,15,network,zone_dst,keyword
1,Identity,Accesses,This key is used to capture actual privileges used in accessing an object,accesses,accesses,Text,None,,,,rsa.identity.accesses,,14,identity,accesses,keyword
1,Network,Gateway,This key is used to capture the IP Address of the gateway,gateway,gateway,Text,Transient,,,,rsa.network.gateway,,14,network,gateway,keyword
1,Miscellaneous,Risk Number,This key captures a Numeric Risk value,risk_num,risk.num,Float64,None,,,,rsa.misc.risk_num,,14,misc,risk_num,double
1,Miscellaneous,Trigger Value,This key captures the Value of the trigger or threshold condition.,trigger_val,trigger.val,Text,Transient,,,,rsa.misc.trigger_val,,14,misc,trigger_val,keyword
1,Cryptography,Source (Server) Cipher,This key is for Source (Client) Cipher,s_cipher,cipher.src,Text,Transient,,,,rsa.crypto.cipher_src,,13,crypto,cipher_src,keyword
1,Network,ICMP Type,This key is used to capture the ICMP type only,icmptype,icmp.type,UInt32,Transient,,,,rsa.network.icmp_type,,13,network,icmp_type,integer
1,Miscellaneous,Linked (Related) Session ID,This key is used to capture a Linked (Related) Session ID from the session directly,sessionid1,log.session.id1,Text,Transient,,,,rsa.misc.log_session_id1,,13,misc,log_session_id1,keyword
1,,,Deprecated key defined only in table map.,obj_server,obj.server,Text,Transient,,,,rsa.internal.obj_server,,13,internal,obj_server,keyword
1,Threat,Threat Description,This key is used to capture the threat description from the session directly or inferred,threat_val,threat.desc,Text,None,,,,rsa.threat.threat_desc,,13,threat,threat_desc,keyword
1,Web,Web Cookie,This key is used to capture the Web cookies specifically.,web_cookie,web.cookie,Text,Transient,,,,rsa.web.web_cookie,,13,web,web_cookie,keyword
1,Web,Root URLPath,This key captures the root URL path,web_root,web.root,Text,Transient,,,,url.path,,13,web,web_root,keyword
1,,,,web_host,alias.host,Text,None,,,,rsa.web.alias_host,,12,web,alias_host,keyword
1,Miscellaneous,Sub component Version,This key captures the Version level of a sub-component of a product.,component_version,comp.version,Text,Transient,,,,rsa.misc.comp_version,,12,misc,comp_version,keyword
1,Miscellaneous,Content Version,This key captures Version level of a signature or database content.,content_version,content.version,Text,Transient,,,,rsa.misc.content_version,,12,misc,content_version,keyword
1,Counters,Event Counter,This is used to capture the number of times an event repeated,event_counter,event.counter,Int32,Transient,,,,rsa.counters.event_counter,,12,counters,event_counter,integer
1,Miscellaneous,Hardware/Serial ID,This key is used to capture unique identifier for a device or system (NOT a Mac address),hardware_id,hardware.id,Text,Transient,,,,rsa.misc.hardware_id,,12,misc,hardware_id,keyword
1,Network,Network mask Generic,This key is used to capture the device network IPmask.,mask,mask,Text,Transient,,,,rsa.network.mask,,12,network,mask,keyword
1,Miscellaneous,Risk,This key captures the non-numeric risk value,risk,risk,Text,Transient,,,,rsa.misc.risk,,12,misc,risk,keyword
1,,,,event_id,,,,,,,rsa.misc.event_id,,12,misc,event_id,keyword
1,,,,reason,,,,,,,rsa.misc.reason,,12,misc,reason,keyword
1,,,,status,,,,,,,rsa.misc.status,,12,misc,status,keyword
1,Counters,Device class Ratio 1,This is a generic ratio key that should be used with the label dclass.r1.str only,dclass_ratio1,dclass.r1,Text,Transient,,,,rsa.counters.dclass_r1,,11,counters,dclass_r1,keyword
1,,Destination Domain,"Deprecated, use domain.dst",ddomain,ddomain,Text,Transient,,,,destination.domain,,11,network,ddomain,keyword
1,File,File Type,This key is used to capture the type of file only,filetype,filetype,Text,Transient,,,,file.type,,11,file,filetype,keyword
1,Network,ICMP Code,This key is used to capture the ICMP code only,icmpcode,icmp.code,UInt32,Transient,,,,rsa.network.icmp_code,,11,network,icmp_code,integer
1,Miscellaneous,Mailbox ID/Name,This key is used to capture the mailbox id/name,mail_id,mail.id,Text,Transient,,,,rsa.misc.mail_id,,11,misc,mail_id,keyword
1,Identity,Realm,Radius realm or similar grouping of accounts,realm,realm,Text,Transient,,,,rsa.identity.realm,,11,identity,realm,keyword
1,,,,sdomain,sdomain,Text,Transient,,,,source.domain,,11,network,sdomain,keyword
1,Identity,Destination User Session ID,This key captures Destination User Session ID,sid,user.sid.dst,Text,Transient,,,,rsa.identity.user_sid_dst,,11,identity,user_sid_dst,keyword
